epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,987.352,1.31197,1.62846,1.27897,0.24543,0.22489,0.18951,0.11335,1.50688,2.11563,1.26885,0.00079705,0.00079705,0.00079705
43,1009.93,1.29848,1.64375,1.26676,0.22661,0.20937,0.1723,0.09632,1.56831,2.12276,1.28208,0.0007921,0.0007921,0.0007921
44,1033.84,1.3073,1.61536,1.25779,0.25518,0.21142,0.18888,0.11054,1.55146,2.09133,1.2822,0.00078715,0.00078715,0.00078715
45,1056.35,1.32417,1.63659,1.28085,0.22582,0.20236,0.17465,0.10125,1.56027,2.12904,1.27944,0.0007822,0.0007822,0.0007822
46,1079.04,1.29194,1.5592,1.26491,0.26483,0.24463,0.19338,0.11573,1.4848,2.04478,1.27994,0.00077725,0.00077725,0.00077725
47,1101.67,1.29308,1.58904,1.25175,0.25275,0.24701,0.19678,0.11664,1.58427,2.06126,1.29038,0.0007723,0.0007723,0.0007723
48,1124.39,1.32052,1.58634,1.26335,0.20872,0.20316,0.16553,0.09994,1.53056,2.19277,1.26836,0.00076735,0.00076735,0.00076735
49,1147.23,1.28762,1.56462,1.24341,0.23567,0.22608,0.17805,0.1036,1.51848,2.15187,1.25933,0.0007624,0.0007624,0.0007624
50,1169.77,1.28955,1.52705,1.24582,0.25842,0.19674,0.19469,0.1143,1.51615,2.1003,1.259,0.00075745,0.00075745,0.00075745
51,1192.77,1.27545,1.52438,1.25468,0.237,0.25174,0.18729,0.11141,1.552,2.15517,1.27789,0.0007525,0.0007525,0.0007525
52,1215.46,1.27597,1.48183,1.23095,0.2357,0.23212,0.17874,0.10245,1.57153,2.14793,1.28874,0.00074755,0.00074755,0.00074755
53,1238.24,1.24683,1.46947,1.22925,0.27122,0.24507,0.20602,0.11983,1.55301,2.06224,1.28144,0.0007426,0.0007426,0.0007426
54,1261,1.26142,1.50119,1.25573,0.25441,0.18162,0.17828,0.1051,1.51766,2.12615,1.26881,0.00073765,0.00073765,0.00073765
55,1283.82,1.26186,1.49837,1.24854,0.24509,0.21184,0.17826,0.1008,1.5746,2.1316,1.28877,0.0007327,0.0007327,0.0007327
56,1306.84,1.26799,1.44579,1.24767,0.24496,0.23231,0.18981,0.10749,1.60371,2.15653,1.30222,0.00072775,0.00072775,0.00072775
57,1329.61,1.2483,1.4238,1.23093,0.26786,0.1962,0.18908,0.10753,1.60823,2.11269,1.30429,0.0007228,0.0007228,0.0007228
58,1352.2,1.26052,1.44543,1.23998,0.22712,0.20998,0.17009,0.09908,1.62416,2.23233,1.30678,0.00071785,0.00071785,0.00071785
59,1375.16,1.24099,1.39808,1.2373,0.24933,0.21673,0.18634,0.10769,1.59867,2.14092,1.2882,0.0007129,0.0007129,0.0007129
60,1398.13,1.24451,1.41129,1.22523,0.24839,0.24554,0.18758,0.11465,1.52071,2.09245,1.26075,0.00070795,0.00070795,0.00070795
61,1421,1.23103,1.38912,1.22076,0.19521,0.21291,0.15406,0.09362,1.50884,2.25919,1.27308,0.000703,0.000703,0.000703
62,1443.82,1.25439,1.40074,1.2449,0.25476,0.23095,0.19099,0.11504,1.56275,2.19604,1.28593,0.00069805,0.00069805,0.00069805
63,1466.57,1.23066,1.36964,1.22133,0.26395,0.24134,0.1986,0.11745,1.55221,2.10079,1.28298,0.0006931,0.0006931,0.0006931
64,1489.66,1.27387,1.37924,1.24174,0.25669,0.20892,0.17588,0.09862,1.58273,2.21604,1.29872,0.00068815,0.00068815,0.00068815
65,1512.47,1.23798,1.36146,1.21292,0.25013,0.22026,0.1821,0.10496,1.63828,2.1713,1.33553,0.0006832,0.0006832,0.0006832
66,1535.33,1.23737,1.35548,1.21323,0.26827,0.23729,0.20324,0.11919,1.5432,2.10256,1.28923,0.00067825,0.00067825,0.00067825
67,1557.91,1.24864,1.33309,1.22395,0.23076,0.24491,0.18656,0.11181,1.55924,2.17058,1.30053,0.0006733,0.0006733,0.0006733
68,1580.74,1.21301,1.29136,1.20751,0.30016,0.21998,0.18974,0.11063,1.62552,2.11907,1.29587,0.00066835,0.00066835,0.00066835
69,1603.52,1.22035,1.32786,1.22042,0.2519,0.24897,0.2061,0.12348,1.52923,2.08197,1.28337,0.0006634,0.0006634,0.0006634
70,1626.34,1.20738,1.28985,1.22243,0.3989,0.22062,0.18607,0.10817,1.57291,2.26989,1.30656,0.00065845,0.00065845,0.00065845
71,1649.11,1.21233,1.27104,1.20328,0.35162,0.20996,0.19537,0.1191,1.53086,2.21256,1.2706,0.0006535,0.0006535,0.0006535
72,1671.68,1.23636,1.31097,1.21101,0.26517,0.24206,0.20678,0.12318,1.51956,2.16565,1.27719,0.00064855,0.00064855,0.00064855
